D1,D2,avgArea D1,avgArea D2,size D1 (in MB),size D2 (in MB),areaINT/area1,MBR1,areaINT/area2,MBR2
A1,B1,1.00E-08,1.00E-08,128,128,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A2,B2,1.00E-08,1.00E-08,128,256,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A3,B3,1.00E-08,1.00E-08,128,512,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A4,B4,1.00E-08,1.00E-08,128,1024,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A5,B5,1.00E-08,1.00E-08,128,2048,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A6,B6,1.00E-08,1.00E-08,128,4096,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A7,B7,1.00E-08,1.00E-08,128,8192,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A8,B8,1.00E-08,1.00E-08,128,16384,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A9,B9,1.00E-08,1.00E-08,128,32768,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A10,B10,1.00E-08,1.00E-08,128,65536,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A11,B11,1.00E-07,1.00E-09,128,2048,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A12,B12,1.00E-07,1.00E-09,256,2048,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A13,B13,1.00E-07,1.00E-09,512,2048,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A14,B14,1.00E-07,1.00E-09,1024,2048,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A15,B15,1.00E-07,1.00E-09,2048,2048,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A16,B16,1.00E-09,1.00E-07,2048,4096,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
A17,B17,1.00E-09,1.00E-07,2048,8192,1,"0.0,0.0,1.0,1.0",1,"0.0,0.0,1.0,1.0"
