dataset1,dataset2,Selectivity,Class, dataset1Cardinality, dataset2Cardinality, dataset1GridNPartitions, dataset2GridNPartitions,resultSJSize, BNLJMBRTests, BNLJjobsTimes, BNLJjobsTimesRelStdDev, BNLJsizeJoins, BNLJsizeJoinsRelStdDev,PBSMMBRTests, PBSMjobsTimes, PBSMjobsTimesRelStdDev, PBSMsizeJoins, PBSMsizeJoinsRelStdDev,DJMBRTests, DJjobsTimes, DJjobsTimesRelStdDev, DJsizeJoins, DJsizeJoinsRelStdDev,REPJMBRTests, REPJjobsTimes, REPJjobsTimesRelStdDev, REPJsizeJoins, REPJsizeJoinsRelStdDev
dataset-1005_e4.wkt.bz2,dataset-1066_e4.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r0.wkt.bz2,dataset-1066_e4_r0.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r1.wkt.bz2,dataset-1066_e4_r1.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r2.wkt.bz2,dataset-1066_e4_r2.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r3.wkt.bz2,dataset-1066_e4_r3.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r4.wkt.bz2,dataset-1066_e4_r4.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r5.wkt.bz2,dataset-1066_e4_r5.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r6.wkt.bz2,dataset-1066_e4_r6.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r7.wkt.bz2,dataset-1066_e4_r7.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r8.wkt.bz2,dataset-1066_e4_r8.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r9.wkt.bz2,dataset-1066_e4_r9.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r10.wkt.bz2,dataset-1066_e4_r10.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r11.wkt.bz2,dataset-1066_e4_r11.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r12.wkt.bz2,dataset-1066_e4_r12.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r13.wkt.bz2,dataset-1066_e4_r13.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r14.wkt.bz2,dataset-1066_e4_r14.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r15.wkt.bz2,dataset-1066_e4_r15.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r16.wkt.bz2,dataset-1066_e4_r16.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r17.wkt.bz2,dataset-1066_e4_r17.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r18.wkt.bz2,dataset-1066_e4_r18.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r19.wkt.bz2,dataset-1066_e4_r19.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r20.wkt.bz2,dataset-1066_e4_r20.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r21.wkt.bz2,dataset-1066_e4_r21.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r22.wkt.bz2,dataset-1066_e4_r22.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r23.wkt.bz2,dataset-1066_e4_r23.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r24.wkt.bz2,dataset-1066_e4_r24.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r25.wkt.bz2,dataset-1066_e4_r25.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r26.wkt.bz2,dataset-1066_e4_r26.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r27.wkt.bz2,dataset-1066_e4_r27.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r28.wkt.bz2,dataset-1066_e4_r28.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r29.wkt.bz2,dataset-1066_e4_r29.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r30.wkt.bz2,dataset-1066_e4_r30.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r31.wkt.bz2,dataset-1066_e4_r31.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r32.wkt.bz2,dataset-1066_e4_r32.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r33.wkt.bz2,dataset-1066_e4_r33.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r34.wkt.bz2,dataset-1066_e4_r34.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r35.wkt.bz2,dataset-1066_e4_r35.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r36.wkt.bz2,dataset-1066_e4_r36.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r37.wkt.bz2,dataset-1066_e4_r37.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r38.wkt.bz2,dataset-1066_e4_r38.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1005_e4_r39.wkt.bz2,dataset-1066_e4_r39.wkt.bz2,0.054741719,10,174614,306693,10,28,2931577353,0,0,0,0,0,4.42228E+11,2513.788,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8.wkt.bz2,dataset-0022_e4_e8.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r40.wkt.bz2,dataset-0022_e4_e8_r40.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r41.wkt.bz2,dataset-0022_e4_e8_r41.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r42.wkt.bz2,dataset-0022_e4_e8_r42.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r43.wkt.bz2,dataset-0022_e4_e8_r43.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r44.wkt.bz2,dataset-0022_e4_e8_r44.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r45.wkt.bz2,dataset-0022_e4_e8_r45.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r46.wkt.bz2,dataset-0022_e4_e8_r46.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r47.wkt.bz2,dataset-0022_e4_e8_r47.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r48.wkt.bz2,dataset-0022_e4_e8_r48.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r49.wkt.bz2,dataset-0022_e4_e8_r49.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r50.wkt.bz2,dataset-0022_e4_e8_r50.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r51.wkt.bz2,dataset-0022_e4_e8_r51.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
dataset-1012_e4_e8_r52.wkt.bz2,dataset-0022_e4_e8_r52.wkt.bz2,0.054687626,10,488475,9101,37,1,243119909,0,0,0,0,0,5.67202E+11,1193.92,0,0,0,0,0,0,0,0,0,0,0,0,0
