dataset1,dataset2, dataset1Cardinality, dataset2Cardinality, dataset1GridNPartitions, dataset2GridNPartitions,resultSJSize,selectivity, BNLJMBRTests, BNLJjobsTimes, BNLJjobsTimesRelStdDev, BNLJsizeJoins, BNLJsizeJoinsRelStdDev,PBSMMBRTests, PBSMjobsTimes, PBSMjobsTimesRelStdDev, PBSMsizeJoins, PBSMsizeJoinsRelStdDev,DJMBRTests, DJjobsTimes, DJjobsTimesRelStdDev, DJsizeJoins, DJsizeJoinsRelStdDev,REPJMBRTests, REPJjobsTimes, REPJjobsTimesRelStdDev, REPJsizeJoins, REPJsizeJoinsRelStdDev,Smallest cardinality,Class
parks-00159.csv,lakes-00159.csv,1589992,2071436,180,532,643690,1.95439E-07,0,0,0,0,0,30734371,4661.646,0,0,0,0,0,0,0,0,0,0,0,0,0,1589992,1
parks-00190.csv,lakes-00190.csv,4205261,1343406,709,195,1133050,2.00562E-07,0,0,0,0,0,86020636,1398.642,0,0,0,0,0,0,0,0,0,0,0,0,0,1343406,1
parks-00189.csv,lakes-00189.csv,3017430,964570,384,193,844199,2.90051E-07,0,0,0,0,0,52120545,3200.917,0,0,0,0,0,0,0,0,0,0,0,0,0,964570,1
parks-00242.csv,lakes-00242.csv,1394200,765245,231,105,398928,3.73912E-07,0,0,0,0,0,29067768,1324.481,0,0,0,0,0,0,0,0,0,0,0,0,0,765245,1
parks-00241.csv,lakes-00241.csv,578154,857446,219,192,669556,1.35063E-06,0,0,0,0,0,9581078,1351.256,0,0,0,0,0,0,0,0,0,0,0,0,0,578154,1
parks-00247.csv,lakes-00247.csv,543240,1061632,211,153,901353,1.56289E-06,0,0,0,0,0,13385152,7836.406,0,0,0,0,0,0,0,0,0,0,0,0,0,543240,1
parks-00107.csv,lakes-00107.csv,481860,435810,222,96,281293,1.33949E-06,0,0,0,0,0,9717001,192.414,0,0,0,0,0,0,0,0,0,0,0,0,0,435810,1
parks-00243.csv,lakes-00243.csv,513231,431118,121,76,305538,1.38088E-06,0,0,0,0,0,11511674,1246.506,0,0,0,0,0,0,0,0,0,0,0,0,0,431118,1
parks-00156.csv,lakes-00156.csv,423484,909240,58,167,478686,1.24318E-06,0,0,0,0,0,8681092,237.773,0,0,0,0,0,0,0,0,0,0,0,0,0,423484,1
parks-00231.csv,lakes-00231.csv,1178318,406075,124,75,326884,6.83164E-07,0,0,0,0,0,17553204,158.987,0,0,0,0,0,0,0,0,0,0,0,0,0,406075,1
parks-00230.csv,lakes-00230.csv,1347522,360184,149,63,351571,7.24357E-07,0,0,0,0,0,16645601,182.36,0,0,0,0,0,0,0,0,0,0,0,0,0,360184,1
parks-00246.csv,lakes-00246.csv,327938,397445,95,98,461638,3.54187E-06,0,0,0,0,0,7083540,91.777,0,0,0,0,0,0,0,0,0,0,0,0,0,327938,1
parks-00466.csv,lakes-00466.csv,641016,289123,141,63,157587,8.50294E-07,0,0,0,0,0,11580496,251.763,0,0,0,0,0,0,0,0,0,0,0,0,0,289123,1
parks-00198.csv,lakes-00198.csv,279331,1646654,126,304,1506367,3.27498E-06,0,0,0,0,0,13069814,5069.253,0,0,0,0,0,0,0,0,0,0,0,0,0,279331,1
parks-00464.csv,lakes-00464.csv,946528,237135,189,56,153815,6.85282E-07,0,0,0,0,0,12266377,389.491,0,0,0,0,0,0,0,0,0,0,0,0,0,237135,1
parks-00164.csv,lakes-00164.csv,226003,352760,42,101,71543,8.97374E-07,0,0,0,0,0,4474963,91.087,0,0,0,0,0,0,0,0,0,0,0,0,0,226003,1
parks-00179.csv,lakes-00179.csv,216378,681109,78,134,362641,2.46063E-06,0,0,0,0,0,4905024,513.989,0,0,0,0,0,0,0,0,0,0,0,0,0,216378,1
parks-00467.csv,lakes-00467.csv,750263,201690,170,59,122690,8.10795E-07,0,0,0,0,0,9062583,322.914,0,0,0,0,0,0,0,0,0,0,0,0,0,201690,1
parks-00158.csv,lakes-00158.csv,197484,343640,24,143,55273,8.14474E-07,0,0,0,0,0,3063932,195.484,0,0,0,0,0,0,0,0,0,0,0,0,0,197484,1
parks-00125.csv,lakes-00125.csv,400862,196088,42,43,68051,8.65742E-07,0,0,0,0,0,7489156,529.786,0,0,0,0,0,0,0,0,0,0,0,0,0,196088,1
parks-00176.csv,lakes-00176.csv,214285,180834,25,46,66346,1.71215E-06,0,0,0,0,0,3241046,179.282,0,0,0,0,0,0,0,0,0,0,0,0,0,180834,1
parks-00177.csv,lakes-00177.csv,178643,1198756,33,278,145482,6.79348E-07,0,0,0,0,0,5519257,145.549,0,0,0,0,0,0,0,0,0,0,0,0,0,178643,1
parks-00157.csv,lakes-00157.csv,172938,537881,29,94,206277,2.21755E-06,0,0,0,0,0,4394625,80.921,0,0,0,0,0,0,0,0,0,0,0,0,0,172938,1
parks-00104.csv,lakes-00104.csv,301920,164817,68,44,63989,1.28591E-06,0,0,0,0,0,3790224,323.829,0,0,0,0,0,0,0,0,0,0,0,0,0,164817,1
